rowId,START,DATE_CREATED
134,1,2025-07-03 08:10:55.8195937
135,0,2025-07-03 16:56:38.5155194
136,1,2025-07-04 07:58:54.6039885
137,0,2025-07-04 17:00:51.7807818
138,1,2025-07-05 08:00:06.0540511
139,0,2025-07-05 11:59:08.7899081
140,1,2025-07-07 07:59:51.0295261
141,0,2025-07-07 17:09:08.5661162
142,1,2025-07-08 07:55:06.53813
143,0,2025-07-08 18:04:20.1102707
144,1,2025-07-09 07:55:00.9706244
145,0,2025-07-09 17:07:43.6104067
146,1,2025-07-10 07:58:41.161721
147,0,2025-07-10 18:01:07.8233507
148,1,2025-07-11 07:58:00.003616
149,0,2025-07-11 10:23:24.3362451
150,1,2025-07-11 10:24:14.5847098
151,0,2025-07-11 10:41:30.0499093
152,1,2025-07-11 10:44:53.1226491
153,0,2025-07-11 16:54:36.5948836
154,1,2025-07-12 10:23:31.4622258
155,0,2025-07-12 11:45:06.7245857
156,1,2025-07-14 07:45:33.903033
157,0,2025-07-14 07:52:52.8126884
158,1,2025-07-14 07:54:15.0053829
159,0,2025-07-14 07:54:49.8177599
160,1,2025-07-14 07:55:31.4532811
161,0,2025-07-14 07:57:35.1613792
162,1,2025-07-14 07:59:41.7379697
163,0,2025-07-14 18:01:47.7265777
164,1,2025-07-15 08:01:31.3601339
165,0,2025-07-15 18:02:00.8942621
166,1,2025-07-16 08:01:01.0211086
167,0,2025-07-16 17:56:02.2864926
168,1,2025-07-17 07:57:37.3954423
169,0,2025-07-17 17:59:01.1791009
170,1,2025-07-18 07:48:19.9437925
171,0,2025-07-18 17:19:44.7032604
172,1,2025-07-19 07:56:46.2092417
173,0,2025-07-19 11:58:33.6427203
174,1,2025-07-21 08:03:09.3839284
175,0,2025-07-21 16:57:15.0454674
176,1,2025-07-22 08:05:24.4615728
177,0,2025-07-22 17:11:34.798773
178,1,2025-07-22 17:27:32.84578
179,0,2025-07-22 17:44:37.0644521
180,1,2025-07-23 07:57:42.7616594
181,0,2025-07-23 16:57:38.7461704
182,1,2025-07-23 17:00:55.1672823
183,0,2025-07-23 17:03:09.0536193
184,1,2025-07-23 17:04:10.4818193
185,0,2025-07-23 17:54:52.3010593
186,1,2025-07-24 07:56:13.6907325
187,0,2025-07-24 17:07:33.9525006
188,1,2025-07-25 07:53:27.4795161
189,0,2025-07-25 16:53:52.3936194
190,1,2025-07-26 07:44:47.188355
191,0,2025-07-26 11:51:51.1944017
192,1,2025-07-28 07:59:05.3327942
193,0,2025-07-28 16:35:24.4982381
194,1,2025-07-29 08:00:46.957331
195,0,2025-07-29 17:01:34.8782565
196,1,2025-07-30 07:58:41.2981237
197,0,2025-07-30 17:43:55.6374057
198,1,2025-07-31 08:00:37.0045246
199,0,2025-07-31 18:02:53.3126811
200,1,2025-08-01 07:31:37.9157463
201,0,2025-08-01 17:06:59.5691889
202,1,2025-08-02 07:36:48.7711027
